Date,Time,Exercise,# of Reps,Weight,Notes
"2/21/20","05:40","Seated Calf Raise","15","60"
"2/21/20","05:35","Leg Press","8","140",""
"2/21/20","05:35","Leg Press","8","140"
"2/21/20","05:35","Leg Press","10","100"
"2/21/20","05:34","Leg Curl","10","120",""
"2/21/20","05:34","Leg Curl","10","120"
"2/21/20","05:34","Leg Curl","10","100"
"2/21/20","05:29","Leg Extension","10","80",""
"2/21/20","05:29","Leg Extension","10","80"
"2/21/20","05:29","Leg Extension","10","80"
"2/20/20","08:34","sitting ab crunch machine","10","140",""
"2/20/20","08:34","sitting ab crunch machine","10","140"
"2/20/20","08:34","sitting ab crunch machine","10","140"
"2/20/20","08:34","Cable Flyes","10","80",""
"2/20/20","08:34","Cable Flyes","10","80"
"2/20/20","08:34","Cable Flyes","10","80"
"2/20/20","07:31","Side Plank Bends","16","0",""
"2/20/20","07:31","Cuban Press","8","30",""
"2/20/20","07:31","Decline Crunches","10","0",""
"2/20/20","07:27","High Plank Pull-Through","30","30",""
"2/20/20","07:26","Incline Curls","10","40",""
"2/20/20","07:26","Triceps Kickbacks","8","40",""
"2/20/20","07:24","Incline Press","10","50",""
"2/20/20","07:23","Incline Two Arm Extension","10","30",""
"2/20/20","07:22","Incline Spider Curls","10","40",""
"2/20/20","07:22","Incline Row","10","40",""
"2/20/20","07:18","Arnold Press","10","40",""
"2/20/20","07:17","Side Plank Bends","20","0",""
"2/20/20","07:17","Cuban Press","8","30",""
"2/20/20","07:17","Decline Crunches","10","0",""
"2/20/20","07:14","High Plank Pull-Through","20","30",""
"2/20/20","07:13","Triceps Kickbacks","8","40",""
"2/20/20","07:12","Incline Curls","8","40",""
"2/20/20","07:11","Incline Press","10","50",""
"2/20/20","07:10","Incline Two Arm Extension","12","30",""
"2/20/20","07:09","Incline Row","12","40",""
"2/20/20","07:08","Incline Spider Curls","10","40",""
"2/20/20","07:05","Arnold Press","10","40",""
"2/20/20","07:04","Cuban Press","5","30",""
"2/20/20","07:02","High Plank Pull-Through","30","30",""
"2/20/20","07:01","Triceps Kickbacks","10","40",""
"2/20/20","07:00","Incline Press","12","40",""
"2/20/20","07:00","Incline Curls","10","40",""
"2/20/20","06:59","Incline Two Arm Extension","8","40",""
"2/20/20","06:57","Incline Row","10","40",""
"2/20/20","06:56","Incline Spider Curls","10","40",""
"2/20/20","06:55","Arnold Press","10","30",""
"2/19/20","22:42","Cable Flyes","10","70",""
"2/19/20","22:42","Cable Flyes","10","70"
"2/19/20","22:42","Cable Flyes","10","70"
"2/19/20","22:42","Decline Crunches","10","0",""
"2/19/20","22:42","Decline Crunches","10","0"
"2/19/20","22:42","Decline Crunches","10","0"
"2/19/20","22:41","Wide-Grip Lat Pulldowns","10","140",""
"2/19/20","22:41","Wide-Grip Lat Pulldowns","10","140"
"2/19/20","22:41","Wide-Grip Lat Pulldowns","10","140"
"2/19/20","22:22","Leg Press","15","100",""
"2/19/20","22:19","Seated Calf Raise","10","40",""
"2/19/20","22:19","Seated Calf Raise","20","60"
"2/19/20","22:19","Seated Calf Raise","20","60"
